auction_code,car_year,color,make,model,body,transmission,mileage,condition_grade,times_run,sale_price,formatted_sold_date
AAA,2010,WHITE,MERCEDES,S550,4DSN,A,81527.0,43,1,25400,2017-01-04
AAA,2012,GREY,MERCEDES,ML350,4SUV,A,165091.0,29,1,17700,2017-01-04
AAA,2013,WHITE,MERCEDES,S550,4DSN,A,51622.0,35,1,37200,2017-01-04
AAA,2016,SILVER,MERCEDES,C300,4DSN,A,13396.0,41,1,29000,2017-01-04
AAA,2014,MNT GRY,MERCEDES,CLA250C,4DSN,A,4339.0,43,3,20000,2017-01-04
AAA,2012,LUN BLU,MERCEDES,SLK55 AMG,2DCP,A,6219.0,35,2,31750,2017-01-04
AAA,2016,ARC WHT,MERCEDES,2500,VAN,A,807.0,50,2,27750,2017-01-04
AAA,2013,BLACK,MERCEDES,GL350,4SUV,A,85254.0,41,2,27250,2017-01-04
AAA,2013,SILVER,MERCEDES,GL550,SUV,A,89624.0,42,3,30500,2017-01-04
AAA,2015,IRI SIL,MERCEDES,SL550,2DCV,A,23824.0,42,2,61000,2017-01-04
AAA,2016,PLR WHT,MERCEDES,GLE350W,SUV,A,7493.0,44,1,45000,2017-01-04
AAA,2015,NIT BLK,MERCEDES,CLA250C,4DSN,A,13469.0,47,1,24750,2017-01-04
AAA,2015,WHITE,MERCEDES,CLS400C,4DSN,A,46808.0,37,1,37000,2017-01-04
AAA,2014,PURPLE,MERCEDES,CLA250C,4DSN,A,19361.0,38,1,21750,2017-01-04
AAA,2014,PLR WHT,MERCEDES,C250,4DSN,A,33941.0,37,1,18000,2017-01-04
AAA,2014,BLACK,MERCEDES,GL450,SUV,A,40828.0,32,1,38500,2017-01-04
AAA,2012,BLACK,MERCEDES,S550,4DSN,A,91937.0,33,1,26000,2017-01-04
AAA,2014,JUP RED,MERCEDES,CLA250C,4DSN,A,33560.0,28,1,19000,2017-01-04
AAA,2016,BLACK,MERCEDES,GLE350W,SUV,A,9781.0,44,1,50750,2017-01-04
AAA,2014,MNT GRY,MERCEDES,CLA250C,4DSN,A,18670.0,37,1,24750,2017-01-04
AAA,2014,PLR WHT,MERCEDES,E350A,2DCV,A,22066.0,35,1,34500,2017-01-04
AAA,2016,PLR WHT,MERCEDES,GL450,SUV,A,9931.0,32,1,52000,2017-01-04
AAA,2014,PEB GRY,MERCEDES,GLK350W4,4SUV,A,22554.0,35,1,28500,2017-01-04
AAA,2014,BLACK,MERCEDES,E350A,2DCV,A,33085.0,48,1,35000,2017-01-04
AAA,2014,ARC WHT,MERCEDES,CLA250C,4DSN,A,19573.0,33,1,23500,2017-01-04
AAA,2011,MAG BLK,MERCEDES,S550,4DSN,A,104925.0,26,2,18000,2017-01-04
AAA,2014,BLUE,MERCEDES,CLA250C,4DSN,A,16459.0,29,1,22250,2017-01-04
AAA,2016,BLACK,MERCEDES,C300,4DSN,A,19777.0,38,1,28000,2017-01-04
AAA,2016,ARC WHT,MERCEDES,GLA250W,SUV,A,342.0,49,1,28750,2017-01-04
AAA,2014,POL SIL,MERCEDES,CLA250C,4DSN,A,27134.0,35,1,20250,2017-01-04
AAA,2014,DIA SLV,MERCEDES,E350W,4DSN,A,20233.0,41,1,27500,2017-01-04
AAA,2014,NIT BLK,MERCEDES,CLA250C,4DSN,A,26369.0,31,1,21750,2017-01-04
DAA,2003,MAROON,MERCEDES,C230,2DCP,A,106923.0,30,1,1000,2017-01-04
LMAA,2015,WHITE,MERCEDES,CLA45 AMG,4DSN,A,7995.0,40,1,44900,2017-01-04
MAA,2013,BLACK,MERCEDES,E350C4,2DCP,A,63670.0,34,6,18500,2017-01-04
MAA,2010,WHITE,MERCEDES,S550,4DSN,A,62623.0,42,2,28500,2017-01-04
NVAA,2015,WHITE,MERCEDES,C300,SEDA,A,16944.0,41,2,28700,2017-01-04
NADE,2003,BLACK,MERCEDES,C320,4DSN,A,152655.0,13,7,950,2017-01-04
NADE,2006,SILVER,MERCEDES,E350S4,4WGN,A,140335.0,20,1,1600,2017-01-04
THAA,2010,BLACK,MERCEDES,C300,4DSN,A,108133.0,39,1,9100,2017-01-05
MAA,2014,BLACK,MERCEDES,C300,4DSN,A,36447.0,34,3,16800,2017-01-05
MAA,2014,WHITE,MERCEDES,E350W4,4DSN,A,39877.0,22,3,23000,2017-01-05
WPBA,2013,BLACK,MERCEDES,GLK350W2,SUV,A,57764.0,47,1,18200,2017-01-05
WPBA,2009,BLACK,MERCEDES,ML350,4SUV,A,38013.0,42,1,15900,2017-01-05
WPBA,2014,SILVER,MERCEDES,C250,4DSN,A,26392.0,44,1,19600,2017-01-05
WPBA,2014,BLACK,MERCEDES,C250,4DSN,A,22839.0,42,2,20400,2017-01-05
WPBA,2013,GRAY,MERCEDES,C250,4DSN,A,34727.0,43,2,17400,2017-01-05
WPBA,2014,SILVER,MERCEDES,C250,4DSN,A,14464.0,35,3,19600,2017-01-05
WPBA,2013,GRAY,MERCEDES,C250,4DSN,A,47627.0,37,4,16700,2017-01-05
WPBA,2012,BLUE,MERCEDES,S550,4DSN,A,29793.0,49,1,31600,2017-01-05
CINA,2010,GRAY,MERCEDES,ML350,SUV,A,204086.0,35,1,10100,2017-01-05
CINA,2011,GRAY,MERCEDES,E350W,4DSN,A,53933.0,35,1,17100,2017-01-05
FAA,2009,BLACK,MERCEDES,ML350,4SUV,A,124424.0,34,1,9700,2017-01-05
MAA,2013,WHITE,MERCEDES,ML350,4SUV,A,61798.0,37,1,26000,2017-01-05
MAA,2011,SILVER,MERCEDES,S550,4DSN,A,102189.0,35,3,19900,2017-01-05
SPAA,2005,BLACK,MERCEDES,G500,4SUV,A,93584.0,24,1,32600,2017-01-05
SPAA,2012,GRAY,MERCEDES,ML350,4SUV,A,70612.0,35,1,21300,2017-01-05
THAA,2011,WHITE,MERCEDES,C300,4DSN,A,76300.0,38,1,10250,2017-01-05
THAA,2011,BLACK,MERCEDES,E350BTC,4DSN,A,102994.0,36,1,12000,2017-01-05
WPBA,2014,RED,MERCEDES,C250,4DSN,A,39728.0,38,11,16700,2017-01-05
AAA,2006,SILVER,MERCEDES,R350,4SUV,A,110886.0,20,1,3700,2017-01-05
AAA,2013,BLACK,MERCEDES,E350W4,4DSN,A,38761.0,41,2,22200,2017-01-05
MAA,2014,BLACK,MERCEDES,E55,4DSN,A,15628.0,38,1,34500,2017-01-05
MAA,2014,BLACK,MERCEDES,E350W4,4DSN,A,17925.0,43,2,27700,2017-01-05
MAA,2014,BLACK,MERCEDES,S550,4DSN,A,17153.0,42,2,59500,2017-01-05
MAA,2014,BLUE,MERCEDES,E350W4,4DSN,A,23808.0,31,3,25250,2017-01-05
MAA,2014,BLACK,MERCEDES,GLK350W4,4SUV,A,42731.0,44,6,24500,2017-01-05
MAA,2014,WHITE,MERCEDES,CLA250C,4DSN,A,35644.0,32,1,19800,2017-01-05
MAA,2011,GREY,MERCEDES,E350C,2DCP,A,44899.0,40,2,17400,2017-01-05
MAA,2016,BLUE,MERCEDES,C300,4DSN,A,9460.0,49,1,32400,2017-01-05
MAA,2014,SILVER,MERCEDES,E350W,4DSN,A,30466.0,34,1,22500,2017-01-05
MAA,2015,BLACK,MERCEDES,E350W4,4DSN,A,41038.0,35,1,28200,2017-01-05
MISS,2011,WHITE,MERCEDES,S550,4DSN,A,46340.0,48,1,31500,2017-01-05
TBAA,2011,GRAY,MERCEDES,R350,SUV,A,57402.0,42,1,18300,2017-01-05
TBAA,2010,GRAY,MERCEDES,C300,4DSN,A,56195.0,33,1,11300,2017-01-05
FAA,2009,TAN,MERCEDES,C300,4DSN,A,108965.0,44,2,8500,2017-01-05
MAA,2014,BLACK,MERCEDES,E350C4,2DCP,A,27984.0,38,2,27700,2017-01-05
MAA,2012,BLACK,MERCEDES,E55,2DCP,A,23370.0,46,1,24750,2017-01-05
MAA,2011,GREY,MERCEDES,GLK350W4,4SUV,A,78543.0,35,1,14000,2017-01-05
MISS,2011,GRAY,MERCEDES,C350,4DSN,A,107258.0,34,3,9500,2017-01-05
WPBA,2015,WHITE,MERCEDES,GLK350W4,SUV,A,33622.0,22,4,24400,2017-01-05
AAA,2011,BLACK,MERCEDES,E55,4DSN,A,46353.0,47,2,19800,2017-01-05
FAA,2010,BLACK,MERCEDES,C300,4DSN,A,54338.0,41,1,12900,2017-01-05
FAA,2010,BLACK,MERCEDES,C300,4DSN,A,119940.0,34,2,8600,2017-01-05
MAA,2014,WHITE,MERCEDES,E350W4,4DSN,A,17321.0,50,1,32000,2017-01-05
